id,publicAddress,ensName,name,profilePicture,discussionThread,incentiveOptedIn,votingPower,discourseHandles,participationRate,participationRatePercent,totalParticipation,payment,bonusPoint,updated,snapshotVoting,onChainVoting,communicatingRationale,commentingProposal,securityCouncilVotePenalty,securityPenaltyBreakdown,votingPowerMultiplier,votingPowerAverage,votingPowerBreakdown,monthlyCalls,biweeklyCalls,delegateFeedback
4300,0xababe91a907fadff921720c43abe4098e7245e99,cattin.seedlatam.eth,SEEDGov,,,FALSE,7389318,[],20.00,100,60.00,3000,0,,"{""score"":""15.00"",""tn"":79,""rn"":79}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{""#  Empowering Early Contributors: The co"":{""status"":""not_posted"",""post"":null},""# Arbitrum Stable Treasury Endowment Pro"":{""status"":""not_posted"",""post"":null},""# Request for Continuation of the Arbitr"":{""status"":""not_posted"",""post"":null},""# Expand Tally Support for the Arbitrum "":{""status"":""not_posted"",""post"":null},""0x66fd48c246080260275e60e327b4d14d3ca202c6d13aba17e970c55536b44664-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523/24"":{""status"":""not_posted"",""post"":null},""0xd45c0426919353cbce3e7e2a3e7a00c01f9d606bb7ed6c9788db4598f044b16a-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958/1"":{""status"":""not_posted"",""post"":null},""0xda58687b8ffae1e178caf049302897183e6c657f5227fd4eac6aba7f982442ac-https://forum.arbitrum.foundation/t/proposal-non-constitutional-defending-open-source-a-united-stand-for-developer-rights-and-software-freedom/23047/1"":{""status"":""not_posted"",""post"":null}}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
4342,0x054becf10c79afa4e60f75b187837be9fb83867d,coinruay.eth,,,,FALSE,61752,[],19.20,96,59.20,2960,0,,"{""score"":""15.00"",""tn"":79,""rn"":79}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
4304,0x3d1846ea60001a3bc21438d76f3958422fe89adb,alphainsiders.eth,Alpha Insiders,https://pbs.twimg.com/profile_images/1578368265369395200/XxXe3vKd_400x400.png,,FALSE,341248,[],14.20,71,53.63,2681.5,0,,"{""score"":""14.43"",""tn"":79,""rn"":76}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
7478,0x714d8b5874b3a6a69f289f4e857f4c9670074296,jameskbh.eth,,,,FALSE,5,"[""jameskbh""]",10.80,54,50.80,,0,,"{""score"":""15.00"",""tn"":79,""rn"":79}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""tn"":7,""rn"":""0"",""score"":""0.00"",""updated"":""manually""}","{""tn"":0,""rn"":0,""score"":""0.00"",""updated"":""manually""}",,,,,null,,,null
7426,0xb79294d00848a3a4c00c22d9367f19b4280689d7,tanegov.eth,tanegov.eth,,,FALSE,63956,"[""tane""]",10.00,50,50.00,2500,0,,"{""score"":""15.00"",""tn"":79,""rn"":79}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
4302,0xb933aee47c438f22de0747d57fc239fe37878dd1,wintermutegovernance.eth,,https://ugc.production.linktr.ee/MfDeSbV1Ryq3IWFBSMqh_rzwF1sTDrxAaqeq1?io=true&size=avatar-v3_0,,FALSE,8927201,[],11.60,58,47.04,2352,0,,"{""score"":""10.44"",""tn"":79,""rn"":55}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
4349,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,pgov.eth,PGov,,https://forum.arbitrum.foundation/t/pgov-delegate-communication-thread/21002,FALSE,301,"[""pgov""]",6.60,33,46.60,,0,,"{""score"":""15.00"",""tn"":79,""rn"":79}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""tn"":7,""rn"":0,""score"":""0.00"",""updated"":""manually"",""breakdown"":{""#  Empowering Early Contributors: The co"":{""status"":""not_posted"",""post"":null},""# Arbitrum Stable Treasury Endowment Pro"":{""status"":""not_posted"",""post"":null},""# Request for Continuation of the Arbitr"":{""status"":""not_posted"",""post"":null},""# Expand Tally Support for the Arbitrum "":{""status"":""not_posted"",""post"":null},""0x66fd48c246080260275e60e327b4d14d3ca202c6d13aba17e970c55536b44664-https://forum.arbitrum.foundation/t/delegate-to-a-public-access-public-good-citizen-enfranchisement-pool-through-event-horizon/21523/24"":{""status"":""not_posted"",""post"":null},""0xd45c0426919353cbce3e7e2a3e7a00c01f9d606bb7ed6c9788db4598f044b16a-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958/1"":{""status"":""not_posted"",""post"":null},""0xda58687b8ffae1e178caf049302897183e6c657f5227fd4eac6aba7f982442ac-https://forum.arbitrum.foundation/t/proposal-non-constitutional-defending-open-source-a-united-stand-for-developer-rights-and-software-freedom/23047/1"":{""status"":""not_posted"",""post"":null}}}","{""tn"":0,""rn"":0,""score"":""0.00"",""updated"":""manually""}",,,,,null,,,null
7399,0x583e3edc26e1b8620341bce90547197bfe2c1ddd,,Karpatkey,,,FALSE,2182805,"[""karpatkey""]",6.60,33,46.41,,0,,"{""score"":""14.81"",""tn"":79,""rn"":78}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""tn"":7,""rn"":""0"",""score"":""0.00"",""updated"":""manually""}","{""tn"":0,""rn"":0,""score"":""0.00"",""updated"":""manually""}",,,,,null,,,null
4352,0x0579a616689f7ed748dc07692a3f150d44b0ca09,aranadigital.eth,Arana Digital,,,FALSE,1993,"[""aranadigital""]",5.80,29,45.61,2280.5,0,,"{""score"":""14.81"",""tn"":79,""rn"":78}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
5945,0x8e8175f7be6044f90143b0bbc0c021eb2d484002,,,,,FALSE,0,[],20.00,100,45.00,2250,0,,"{""score"":""0.00"",""tn"":79,""rn"":0}","{""score"":""25.00"",""tn"":4,""rn"":4}","{""score"":""0.00"",""tn"":7,""rn"":0,""breakdown"":{}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
