id,publicAddress,ensName,name,profilePicture,discussionThread,incentiveOptedIn,votingPower,discourseHandles,participationRate,participationRatePercent,totalParticipation,payment,bonusPoint,updated,snapshotVoting,onChainVoting,communicatingRationale,commentingProposal,securityCouncilVotePenalty,securityPenaltyBreakdown,votingPowerMultiplier,votingPowerAverage,votingPowerBreakdown,monthlyCalls,biweeklyCalls,delegateFeedback
12258,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,l2beatcom.eth,L2BEAT 💗,https://l2beat.com/ens-avatar.png,https://forum.arbitrum.foundation/t/l2beat-delegate-communication-thread/15979,TRUE,9799932,"[""krst"",""manugotsuka""]",18.80,94,98.80,4940,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/22958/39""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/23""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/50""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/l2beat-delegate-communication-thread/15979""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/l2beat-delegate-communication-thread/15979""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/25""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":5,""score"":""15.00"",""updated"":""manually""}",,,,,null,,,null
12312,0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,404gov.eth,404 DAO,,https://forum.arbitrum.foundation/t/404-dao-delegate-communication-thread/22494,TRUE,200370,"[""404dao"",""rikagoldberg""]",20.00,100,97.00,,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""not_posted"",""post"":null},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""not_posted"",""post"":null},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/47""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""not_posted"",""post"":null},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""not_posted"",""post"":null},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""not_posted"",""post"":null},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":4,""score"":""12.00"",""updated"":""manually""}",,,,,null,,,null
12278,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,cp0x.eth,cp0x,https://pbs.twimg.com/profile_images/1365674118855688194/pclaSqpl_400x400.jpg,https://forum.arbitrum.foundation/t/cp0x-delegate-communication-thread/22217,TRUE,205694,"[""cp0x""]",16.00,80,96.00,4800,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/22958/9""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/5""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/8""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25557/4""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25496/6""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/6""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":5,""score"":""15.00"",""updated"":""manually""}",,,,,null,,,null
12284,0x8326d18edfc50b4335113c33b25116ec268ff3fe,uniswap-dao.eth,Uniswap-Arbitrum Delegate Program,,,TRUE,1325449,"[""juanbug"",""abdullahumar""]",14.20,71,94.20,4710,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""not_posted"",""post"":null},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""not_posted"",""post"":null},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/35""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""not_posted"",""post"":null},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""not_posted"",""post"":null},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""not_posted"",""post"":null},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":5,""score"":""15.00"",""updated"":""manually""}",,,,,null,,,null
12300,0xb5b069370ef24bc67f114e185d185063ce3479f8,0xfrisson.eth,,,,TRUE,13349676,"[""frisson""]",20.00,100,94.00,4700,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/22958/35""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/15""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/48""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""not_posted"",""post"":null},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25496/40""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/13""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":3,""score"":""9.00"",""updated"":""manually""}",,,,,null,,,null
12285,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,griff.eth,Griff Green,https://raw.githubusercontent.com/mmmgtc/stewards-frontend/main/public/assets/stewards/webp/griffgreen.webp,,TRUE,9627637,"[""griff""]",19.40,97,93.40,,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""not_posted"",""post"":null},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/22""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""not_posted"",""post"":null},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""not_posted"",""post"":null},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25496/26""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/36""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":3,""score"":""9.00"",""updated"":""manually""}",,,,,null,,,null
12309,0xd4879f876ee383067f80acadbe283b93141908e9,safe.daoplomats.eth,DAOplomats,,https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165,TRUE,51985,"[""jengajojo"",""winverse"",""WinVerse""]",18.20,91,92.20,4610,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""not_posted"",""post"":""https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""not_posted"",""post"":""https://forum.arbitrum.foundation/t/daostewards-delegate-communication-thread-banklessdao/14165""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/2""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":3,""score"":""9.00"",""updated"":""manually""}",,,,,null,,,null
12291,0xa5df0cf3f95c6cd97d998b9d990a86864095d9b0,blockworksres.eth,,,,TRUE,16877041,"[""blockworksresearch""]",18.20,91,91.63,4581.5,0,,"{""score"":""12.00"",""tn"":5,""rn"":4}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":6,""score"":""21.43"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/22958/40""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/20""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/41""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25557/15""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25496/34""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/28""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""posted"",""post"":null}}}","{""tn"":5,""rn"":5,""score"":""15.00"",""updated"":""manually""}",,,,,null,,,null
12270,0x4f685b29514eed0c9d929386e86d9cd81981118b,jojothecow.eth,,,https://forum.arbitrum.foundation/t/jojo-delegate-communication-thread/24429,TRUE,2550707,"[""jojo""]",11.40,57,91.40,4570,0,,"{""score"":""15.00"",""tn"":5,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":7,""score"":""25.00"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/22958/34""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25097/30""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25136/31""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25557/20""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/25496/12""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/23280/22""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":5,""score"":""15.00"",""updated"":""manually""}",,,,,null,,,null
12253,0x0eb5b03c0303f2f47cd81d7be4275af8ed347576,,Merlyn Labs,,https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873,TRUE,3866627,"[""karelvuong"",""treasureDAO"",""CJ.Bzdewka"",""thechaingamer.eth"",""pepperoni_jo3"",""jona"",""SmolPhil""]",19.40,97,89.83,4491.5,3,,"{""score"":""12.00"",""tn"":5,""rn"":4}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":7,""rn"":6,""score"":""21.43"",""updated"":""manually"",""breakdown"":{""0xdc8ec106f526902d3cf15757f014b0db627ff974f40e4a0b9cd5d8850254f675-https://forum.arbitrum.foundation/t/non-constitutional-subsidy-fund-for-security-services/22958"":{""status"":""not_posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""0x0e6052ecf62577ec99ee7f1312c6c56ccbfc8599304b6f8c324888da0a5ab97e-https://forum.arbitrum.foundation/t/step-committee-recommendations/25097"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""0x249a8e8aef5dc59da18b72e7d14ace5197ec6242675ab7f82b3d3f17f71bb13b-https://forum.arbitrum.foundation/t/improving-predictability-in-arbitrum-dao-s-operations/25136"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""0xd096c5d610d4455bcae4bff719d18345939c5d6b20d56c6a1f37d0247ad10f71-https://forum.arbitrum.foundation/t/jumpstart-fund-for-dao-improvement/25557/3"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""0x07bea6e32d32b4d3ed20faec6950c3546e2319bc2497716c53ee05995d4a00eb-https://forum.arbitrum.foundation/t/potential-misuse-of-funds-furucombo/25496"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""# [Non-Constitutional] - Subsidy Fund Pr"":{""status"":""not_posted"",""post"":null},""0xd6138aaca39742a1a56f3219a74a4258e0786aa5494cdfbe752f23277c1b947f-https://forum.arbitrum.foundation/t/temperature-check-change-arbitrum-expansion-program-to-allow-deployments-of-new-orbit-chains-on-any-blockchain/23280"":{""status"":""posted"",""post"":""https://forum.arbitrum.foundation/t/treasure-delegate-communication-thread/18873""},""# [NON-CONSTITUTIONAL] Pilot Phase: Arbi"":{""status"":""not_posted"",""post"":null}}}","{""tn"":5,""rn"":3,""score"":""9.00"",""updated"":""manually""}",,,,,null,,,null
