id,publicAddress,ensName,name,profilePicture,discussionThread,incentiveOptedIn,votingPower,discourseHandles,participationRate,participationRatePercent,totalParticipation,payment,bonusPoint,updated,snapshotVoting,onChainVoting,communicatingRationale,commentingProposal,securityCouncilVotePenalty,securityPenaltyBreakdown,votingPowerMultiplier,votingPowerAverage,votingPowerBreakdown,monthlyCalls,biweeklyCalls,delegateFeedback
1612,0xde96e75c7160d70a447a72afdb75ddfa1455c808,simbacat.eth,,,,FALSE,2535,[],19.00,95,71.86,,0,,"{""score"":""15.00"",""tn"":1,""rn"":1}","{""score"":""25.00"",""tn"":1,""rn"":1}","{""tn"":13,""rn"":""0"",""score"":""0.00"",""updated"":""manually""}","{""tn"":7,""rn"":6,""score"":""12.86"",""updated"":""manually""}",,,,,null,,,null
1580,0xababe91a907fadff921720c43abe4098e7245e99,cattin.seedlatam.eth,SEEDGov,,,FALSE,7389318,[],20.00,100,61.92,3096,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""1.92"",""tn"":13,""rn"":1,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
3503,0x4f685b29514eed0c9d929386e86d9cd81981118b,jojothecow.eth,,,https://forum.arbitrum.foundation/t/jojo-delegate-communication-thread/24429,FALSE,2550699,"[""jojo""]",4.00,20,61.31,,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""tn"":13,""rn"":9,""score"":""17.31"",""updated"":""manually"",""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""tn"":0,""rn"":0,""score"":""0.00"",""updated"":""manually""}",,,,,null,,,null
1627,0x054becf10c79afa4e60f75b187837be9fb83867d,coinruay.eth,,,,FALSE,61752,[],19.00,95,59.00,2950,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1633,0x5a35923ed6950eff4412ef6d27cea8b1d405a844,,Bobbay,,https://forum.arbitrum.foundation/t/bobbay-delegate-communication-thread/20997,FALSE,10004,"[""bobbay""]",4.00,20,58.58,2929,0,,"{""score"":""12.27"",""tn"":11,""rn"":9}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""17.31"",""tn"":13,""rn"":9,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1605,0x88bd639d6b029596b029c61490f29f57b0bf4a3f,lovefuture.eth,Bruce1,,,FALSE,25389,"[""bruce""]",17.00,85,57.00,2850,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1584,0x3d1846ea60001a3bc21438d76f3958422fe89adb,alphainsiders.eth,Alpha Insiders,https://pbs.twimg.com/profile_images/1578368265369395200/XxXe3vKd_400x400.png,,FALSE,341248,[],13.00,65,53.00,2650,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1564,0xbbe98d590d7eb99f4a236587f2441826396053d3,,,,,FALSE,826335,[],16.00,80,51.91,2595.5,0,,"{""score"":""10.91"",""tn"":11,""rn"":8}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1591,0x400e3ab48b2ccd2420ec04ba0ee9c94bb54a0b1c,powerkee.eth,,,,FALSE,78,[],20.00,100,51.82,2591,0,,"{""score"":""6.82"",""tn"":11,""rn"":5}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
1618,0x7b0befc5b043148cd7bd5cfeeef7bc63d28edec0,layer3xyz.eth,,,,FALSE,1264426,[],10.00,50,50.00,2500,0,,"{""score"":""15.00"",""tn"":11,""rn"":11}","{""score"":""25.00"",""tn"":2,""rn"":2}","{""score"":""0.00"",""tn"":13,""rn"":0,""breakdown"":{""0x24344ab10eb905a4d7fa5885c6f681290e765a08a5f558ff6cfc5fedab42afb6-https://forum.arbitrum.foundation/t/non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge/21332?u=dk3"":""not_posted"",""0x05e8fa22813e74fd6e5f3360fda4bb6388d0f85d4e6aef834acbb48451307b01-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x9210912a0a77090d1407107dcb9143864aa6c1faa5c6ed9046b6a0a56bf6bbcc-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x3d41ffb43e44e83d004505e362e70f703aed0e740322e8ebfbb390d54724ca91-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0xb04e968c2439cd68e429f722722944c960f82ce75d9f75efe8be52333e1d6554-https://forum.arbitrum.foundation/t/arbitrum-research-development-collective-elections-applications/20805"":""not_posted"",""0x13bcccfeeb736c732bdd08032841d6a07614d17dcee2d29a435e7b0114361a0a-https://forum.arbitrum.foundation/t/fix-fee-oversight-arbos-v20-atlas/22152"":""not_posted"",""0x5bede8277e7fe0beef5764d2915d1d1c288fcc47747c6fa576b501f5cb3d6115-https://forum.arbitrum.foundation/t/questbook-dda-program-phase-2-request-for-continuation/21326"":""not_posted"",""0x57acaed2db622fa66de2bd70d3710f48984a5e55449a0bf6e4e661306d20d148-https://forum.arbitrum.foundation/t/proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime/21247"":""not_posted"",""0x1a9f2097b0b5a0021628e9edb0e7c9bffae4fdbb104f9996463e40a3129c7718-https://forum.arbitrum.foundation/t/catalyze-gaming-ecosystem-growth-on-arbitrum/22368"":""not_posted"",""0x1204041955b729052b9adb4da9e3fa9a03c415ca45aeefd5c41da4d9d45ea851-https://forum.arbitrum.foundation/t/expand-tally-support-for-the-arbitrum-dao/22387"":""not_posted"",""0x51df52b1596195d672c3120658b3d2aecee2a871f9c1a5ef7509298f98b9e825-https://www.google.com/url?q=https://forum.arbitrum.foundation/t/double-down-on-stip-successes-stip-bridge/22353&sa=D&source=docs&ust=1711155651348853&usg=AOvVaw1a8DboRcptsjD6u5gLL0LN"":""not_posted""}}","{""score"":0,""tn"":0,""rn"":0}",,,,,null,,,null
